Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,%Change,Result
2020-05-04,701.0,762.0,698.0,761.19,19237100,0,0,60.19,8.59%,1.0
2020-05-05,789.79,798.92,762.18,768.21,16991700,0,0,-21.58,-2.73%,0.0
2020-05-06,776.5,789.8,761.11,782.58,11123200,0,0,6.08,0.78%,1.0
2020-05-07,777.21,796.4,772.35,780.04,11527700,0,0,2.83,0.36%,1.0
2020-05-08,793.77,824.0,787.01,819.42,16130100,0,0,25.65,3.23%,1.0
2020-05-11,790.51,824.0,785.0,811.29,16471100,0,0,20.78,2.63%,1.0
2020-05-12,827.0,843.29,808.0,809.41,15906900,0,0,-17.59,-2.13%,0.0
2020-05-13,820.83,826.0,763.3,790.96,19065500,0,0,-29.87,-3.64%,0.0
2020-05-14,780.0,803.36,764.0,803.33,13682200,0,0,23.33,2.99%,1.0
2020-05-15,790.35,805.05,786.55,799.17,10518400,0,0,8.82,1.12%,1.0
2020-05-18,827.78,834.72,803.88,813.63,11698100,0,0,-14.15,-1.71%,0.0
2020-05-19,815.17,822.07,806.08,808.01,9636500,0,0,-7.16,-0.88%,0.0
2020-05-20,820.5,826.0,811.8,815.56,7309300,0,0,-4.94,-0.60%,0.0
2020-05-21,816.0,832.5,796.0,827.6,12254600,0,0,11.60,1.42%,1.0
2020-05-22,822.17,831.78,812.0,816.88,9987500,0,0,-5.29,-0.64%,0.0
2020-05-26,834.5,834.6,815.71,818.87,8089700,0,0,-15.63,-1.87%,0.0
2020-05-27,820.86,827.71,785.0,820.23,11549500,0,0,-0.63,-0.08%,0.0
2020-05-28,813.51,824.75,801.69,805.81,7255600,0,0,-7.70,-0.95%,0.0
2020-05-29,808.75,835.0,804.21,835.0,11812500,0,0,26.25,3.25%,1.0
2020-06-01,858.0,899.0,854.1,898.1,14939500,0,0,40.10,4.67%,1.0
2020-06-02,894.7,908.66,871.0,881.56,13565600,0,0,-13.14,-1.47%,0.0
2020-06-03,888.12,897.94,880.1,882.96,7949500,0,0,-5.16,-0.58%,0.0
2020-06-04,889.88,895.75,858.44,864.38,8887700,0,0,-25.50,-2.87%,0.0
2020-06-05,877.84,886.52,866.2,885.66,7811900,0,0,7.82,0.89%,1.0
2020-06-08,919.0,950.0,909.16,949.92,14174700,0,0,30.92,3.36%,1.0
2020-06-09,940.01,954.44,923.93,940.67,11388200,0,0,0.66,0.07%,1.0
2020-06-10,991.88,1027.48,982.5,1025.05,18563400,0,0,33.17,3.34%,1.0
2020-06-11,990.2,1018.96,972.0,972.84,15916500,0,0,-17.36,-1.75%,0.0
2020-06-12,980.0,987.98,912.6,935.28,16730200,0,0,-44.72,-4.56%,0.0
2020-06-15,917.79,998.84,908.5,990.9,15697200,0,0,73.11,7.97%,1.0
2020-06-16,1011.85,1012.88,962.39,982.13,14051100,0,0,-29.72,-2.94%,0.0
2020-06-17,987.71,1005.0,982.57,991.79,9869400,0,0,4.08,0.41%,1.0
2020-06-18,1003.0,1019.2,994.47,1003.96,9751900,0,0,0.96,0.10%,1.0
2020-06-19,1012.78,1015.97,991.34,1000.9,8679700,0,0,-11.88,-1.17%,0.0
2020-06-22,999.95,1008.88,990.02,994.32,6362400,0,0,-5.63,-0.56%,0.0
2020-06-23,998.88,1012.0,994.01,1001.78,6365300,0,0,2.90,0.29%,1.0
2020-06-24,994.11,1000.88,953.14,960.85,10959600,0,0,-33.26,-3.35%,0.0
2020-06-25,954.27,985.98,937.15,985.98,9254500,0,0,31.71,3.32%,1.0
2020-06-26,994.78,995.0,954.87,959.74,8854900,0,0,-35.04,-3.52%,0.0
2020-06-29,969.01,1010.0,948.52,1009.35,9026400,0,0,40.34,4.16%,1.0
2020-06-30,1006.5,1087.69,1003.73,1079.81,16918500,0,0,73.31,7.28%,1.0
2020-07-01,1083.0,1135.33,1080.5,1119.63,13326900,0,0,36.63,3.38%,1.0
2020-07-02,1221.48,1228.0,1185.6,1208.66,17250100,0,0,-12.82,-1.05%,0.0
2020-07-06,1276.69,1377.79,1266.04,1371.58,20569900,0,0,94.89,7.43%,1.0
2020-07-07,1405.01,1429.5,1336.71,1389.86,21489700,0,0,-15.15,-1.08%,0.0
2020-07-08,1405.0,1417.26,1311.34,1365.88,16311300,0,0,-39.12,-2.78%,0.0
2020-07-09,1396.99,1408.56,1351.28,1394.28,11717600,0,0,-2.71,-0.19%,0.0
2020-07-10,1396.0,1548.92,1376.01,1544.65,23337600,0,0,148.65,10.65%,1.0
2020-07-13,1659.0,1794.99,1471.11,1497.06,38985400,0,0,-161.94,-9.76%,0.0
2020-07-14,1556.0,1590.0,1431.0,1516.8,23418100,0,0,-39.20,-2.52%,0.0
2020-07-15,1543.0,1550.0,1457.0,1546.01,16367800,0,0,3.01,0.20%,1.0
2020-07-16,1477.16,1531.71,1466.0,1500.64,14300800,0,0,23.48,1.59%,1.0
2020-07-17,1513.45,1537.51,1490.0,1500.84,9330000,0,0,-12.61,-0.83%,0.0
2020-07-20,1519.01,1650.0,1488.0,1643.0,17044800,0,0,123.99,8.16%,1.0
2020-07-21,1639.93,1675.0,1558.0,1568.36,15987757,0,0,-71.57,-4.36%,0.0
